seed,algo,episode,steps_to_mastery,total_reward
0,Random,0,32,79.8
0,Random,1,40,182.0
0,Random,2,15,78.5
0,Random,3,8,34.2
0,Random,4,15,37.5
0,Random,5,40,-24.0
0,Random,6,7,31.3
0,Random,7,7,36.3
0,Random,8,25,54.5
0,Random,9,6,50.4
0,SARSA,0,18,22.2
0,SARSA,1,26,193.4
0,SARSA,2,7,31.3
0,SARSA,3,14,95.6
0,SARSA,4,40,76.0
0,SARSA,5,9,39.1
0,SARSA,6,35,190.5
0,SARSA,7,40,207.0
0,SARSA,8,35,184.5
0,SARSA,9,5,45.5
1,Random,0,14,92.6
1,Random,1,9,20.1
1,Random,2,40,23.0
1,Random,3,13,49.7
1,Random,4,17,60.3
1,Random,5,13,51.7
1,Random,6,36,158.4
1,Random,7,25,107.5
1,Random,8,11,65.9
1,Random,9,10,44.0
1,SARSA,0,6,24.4
1,SARSA,1,7,13.3
1,SARSA,2,30,85.0
1,SARSA,3,40,234.0
1,SARSA,4,40,344.0
1,SARSA,5,40,269.0
1,SARSA,6,40,170.0
1,SARSA,7,40,266.0
1,SARSA,8,40,272.0
1,SARSA,9,40,160.0
2,Random,0,15,79.5
2,Random,1,29,76.1
2,Random,2,22,108.8
2,Random,3,18,48.2
2,Random,4,40,207.0
2,Random,5,14,76.6
2,Random,6,34,177.6
2,Random,7,6,38.4
2,Random,8,40,-62.0
2,Random,9,19,146.1
2,SARSA,0,22,143.8
2,SARSA,1,6,26.4
2,SARSA,2,40,100.0
2,SARSA,3,40,139.0
2,SARSA,4,10,78.0
2,SARSA,5,17,120.3
2,SARSA,6,23,184.7
2,SARSA,7,31,113.9
2,SARSA,8,40,244.0
2,SARSA,9,40,151.0
