episode,mastery
0,0.951229424500714
1,0.9048374180359596
2,0.8607079764250579
3,0.8187307530779819
4,0.778800783071405
5,0.740818220681718
6,0.7046880897187136
7,0.6703200460356394
8,0.6376281516217734
9,0.6065306597126335
10,0.8565306597126335
11,0.8147571665056653
12,0.7750209906030164
13,0.7372227708672806
14,0.7012679920609051
15,0.667066748508866
16,0.6345335192876512
17,0.6035869543784051
18,0.5741496712495091
19,0.5461480613599446
20,0.5195121060996007
21,0.4941752017062771
22,0.47007399272158623
23,0.4471482135693073
24,0.42534053786005455
25,0.40459643504544385
26,0.3848640340633181
27,0.36609399363307327
28,0.3482393788767563
29,0.331255543957423
30,0.581255543957423
31,0.5529073765664689
32,0.5259417656135218
33,0.5002912830254398
34,0.4758917892350129
35,0.45268227279863643
36,0.43060469783592215
37,0.4096038589097681
38,0.38962724298401036
39,0.37062489811348004
40,0.3525493085381214
41,0.3353552758688419
42,0.31899980606799666
43,0.30344200194189985
44,0.28864296087653796
45,0.2745656775607713
46,0.2611749514537811
47,0.24843729876538212
48,0.23632086872910638
49,0.22479536395869665
50,0.21383196468885957
