config,metric,t,p,cohen_d,n_pairs,p_bonf
SARSA_full,steps,-0.6406368256381572,0.5377265157308619,-0.20258715219967297,10,2.1509060629234478
SARSA_full,reward,-54.049783093526116,1.2772035267400264e-12,-17.09204216136042,10,5.1088141069601055e-12
SARSA_full,acc,,,,0,
SARSA_agg,steps,-1.5728567169727152,0.15020245242324898,-0.49738096587285974,10,0.6008098096929959
SARSA_agg,reward,-37.233334915032984,3.605670878236827e-11,-11.774214321537613,10,1.442268351294731e-10
SARSA_agg,acc,,,,0,
Random,steps,,,,10,
Random,reward,,,,10,
Random,acc,,,,0,
